Transaction Date,Value Date,Description,Cheque No,Debit,Credit,Balance
01-Apr-2018,01-Apr-2018,"IMPS-MOB/Fund Trf/809119519742/Oma
Ram/BENE - VER",,,1.00,22.62
01-Apr-2018,01-Apr-2018,"IMPS-MOB/Fund Trf/809119553510/Oma
Ram/2000",,,"2,000.00","2,022.62"
03-Apr-2018,03-Apr-2018,NACH/TP ACH Bajaj Finanac/88551679,,"1,912.00",,110.62
04-Apr-2018,04-Apr-2018,APB-INW/HP644950 000009 3003,,,170.20,280.82
04-Apr-2018,04-Apr-2018,POS-VISA/KARUN MEDICAL/809414290216,,75.00,,205.82
05-Apr-2018,05-Apr-2018,"IMPS-MOB/Fund Trf/809521437177/NITI
N POOJARI/null",,,"3,200.00","3,405.82"
10-Apr-2018,10-Apr-2018,"BILLPAY/RECH/VODAFONE PRE/181000095
662/10042018",,509.00,,"2,896.82"
10-Apr-2018,10-Apr-2018,"ATM-NFS/CASH WITHDRAWAL/+DONGRI OAT
M/810020011497",,"2,000.00",,896.82
14-Apr-2018,14-Apr-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/810418",,500.00,,396.82
20-Apr-2018,20-Apr-2018,"IMPS-RIB/Fund Trf/811010759849/Pay
Rs300",,300.00,,96.82
20-Apr-2018,20-Apr-2018,"IMPS-RIB/FT-REV/811010759849/Pay Rs
300",,,300.00,396.82
20-Apr-2018,20-Apr-2018,POS-VISA/MANSI MEDICAL/811013502615,,75.00,,321.82
22-Apr-2018,22-Apr-2018,"IMPS-MOB/Fund Trf/811212400262/Chan
drakant Yuv/BE",,,1.00,322.82
22-Apr-2018,22-Apr-2018,"IMPS-MOB/Fund Trf/811212428216/Chan
drakant Yuv/ch",,,"4,999.00","5,321.82"
22-Apr-2018,22-Apr-2018,"IMPS-RIB/Fund Trf/811212820665/Pay
salary",,"1,000.00",,"4,321.82"
22-Apr-2018,22-Apr-2018,"IMPS-RIB/Fund Trf/811213820961/Pay
for salary",,500.00,,"3,821.82"
23-Apr-2018,23-Apr-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/811309",,"1,000.00",,"2,821.82"
23-Apr-2018,23-Apr-2018,"IMPS-RIB/Fund Trf/811320861437/Pay
salaryRs2500",,"2,500.00",,321.82
23-Apr-2018,23-Apr-2018,"IMPS-RIB/Fund Trf/811321862644/Pay
300",,300.00,,21.82
03-May-2018,03-May-2018,"IMPS-INET/Fund Trf/812321002185/Cha
ndrakant Yuv/I",,,"2,000.00","2,021.82"
05-May-2018,05-May-2018,NACH/TP ACH Bajaj Finanac/97127969,,"1,912.00",,109.82
09-May-2018,09-May-2018,"ATM-NFS/CASH WITHDRAWAL/+WHITE HOUS
E/812912009989",,100.00,,9.82
09-May-2018,09-May-2018,"IMPS-MOB/Fund Trf/812917902484/SACH
IN PANDURAN/Fr",,,200.00,209.82
11-May-2018,11-May-2018,"IMPS-RIB/Fund Trf/813114420579/Pay
salary",,200.00,,9.82
11-May-2018,11-May-2018,"IMPS-RIB/FT-REV/813114420579/Pay sa
lary",,,200.00,209.82
11-May-2018,11-May-2018,"IMPS-RIB/Fund Trf/813117426391/Pay
for arjant",,200.00,,9.82
11-May-2018,11-May-2018,"IMPS-RIB/FT-REV/813117426391/Pay fo
r arjant",,,200.00,209.82
12-May-2018,12-May-2018,"BILLPAY/RECH/IDEA PREPAID/181320083
270/12052018",,27.00,,182.82
16-May-2018,16-May-2018,"ATM-NFS/CASH WITHDRAWAL/+Sandhurst
Road/8136190082",,100.00,,82.82
17-May-2018,17-May-2018,APB-INW/HP644950 012055 1405,,,134.06,216.88
17-May-2018,17-May-2018,"IMPS-MOB/Fund Trf/813700005886/RID-
24 SP/9090",,,"6,000.00","6,216.88"
18-May-2018,18-May-2018,"IMPS-MOB/Fund Trf/813800005916/RID-
24 SP/0098",,,"1,200.00","7,416.88"
18-May-2018,18-May-2018,"ATM-NFS/CASH WITHDRAWAL/+WADIBUNDER
/813810005906",,500.00,,"6,916.88"
20-May-2018,20-May-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/814016",,500.00,,"6,416.88"
20-May-2018,20-May-2018,POS-VISA/KARUN MEDICAL/814016444557,,75.00,,"6,341.88"
21-May-2018,21-May-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/814110",,"1,000.00",,"5,341.88"
21-May-2018,21-May-2018,"POS-VISA/FLIPKART PAYMENTS/81410945
1953",,569.00,,"4,772.88"
21-May-2018,21-May-2018,"ATM-NFS/CASH WITHDRAWAL/+GOVANDI EA
ST BR/814117029",,"3,000.00",,"1,772.88"
21-May-2018,21-May-2018,POS-VISA/HOTEL SAROJ/814118881722,,300.00,,"1,472.88"
23-May-2018,23-May-2018,"BILLPAY/RECH/VODAFONE PRE/181430064
620/23052018",,100.00,,"1,372.88"
23-May-2018,23-May-2018,"BILLPAY/RECH/TATASKY DTH/1814300658
42/23052018",,"1,000.00",,372.88
01-Jun-2018,01-Jun-2018,"POS-VISA/Upper Crust Foods Pvt THAN
E/815214619098",,261.00,,111.88
01-Jun-2018,01-Jun-2018,"IMPS-MOB/Fund Trf/815200006812/RID-
24 SP/Payment",,,"2,000.00","2,111.88"
02-Jun-2018,02-Jun-2018,NACH/TP ACH Bajaj Finanac/101294174,,"1,912.00",,199.88
06-Jun-2018,06-Jun-2018,"Charge:Cash Wdl at other ATM/Inv270
5181513668571/2",,20.00,,179.88
06-Jun-2018,06-Jun-2018,"CGST on Charge:Cash Wdl at other AT
M/Inv2705181513",,1.80,,178.08
06-Jun-2018,06-Jun-2018,"SGST on Charge:Cash Wdl at other AT
M/Inv2705181513",,1.80,,176.28
19-Jun-2018,19-Jun-2018,APB-INW/HP644950 018603 1106,,,180.19,356.47
30-Jun-2018,30-Jun-2018,CREDIT INTEREST CRED,,,9.00,365.47
01-Jul-2018,01-Jul-2018,"IMPS-MOB/Fund Trf/818200008670/RID-
24 SP/Pay for",,,"2,000.00","2,365.47"
02-Jul-2018,02-Jul-2018,NACH/TP ACH Bajaj Finanac/108265552,,"1,912.00",,453.47
03-Jul-2018,03-Jul-2018,POS-VISA/KARUN MEDICAL/818406584956,,75.00,,378.47
05-Jul-2018,05-Jul-2018,"IMPS-MOB/Fund Trf/818600008933/RID-
24 SP/Pay forl",,,"6,000.00","6,378.47"
05-Jul-2018,05-Jul-2018,"BILLPAY/QUICK/Tata Power /181862237
092/05072018",,"4,708.00",,"1,670.47"
06-Jul-2018,06-Jul-2018,"POS-VISA/Chembur Trombay EducatMUMB
AI/818716574514",,473.56,,"1,196.91"
07-Jul-2018,07-Jul-2018,"BILLPAY/RECH/VIDEOCON DTH/181882351
400/07072018",,285.00,,911.91
07-Jul-2018,07-Jul-2018,"BILLPAY/RECH/AIRTEL PREPA/181882382
248/07072018",,199.00,,712.91
08-Jul-2018,08-Jul-2018,"BILLPAY/RECH/IDEA PREPAID/181892448
103/08072018",,398.00,,314.91
13-Jul-2018,13-Jul-2018,POS-VISA/MANSI MEDICAL/819413057303,,75.00,,239.91
13-Jul-2018,13-Jul-2018,POS-VISA/MANSI MEDICAL/819413154044,,229.00,,10.91
21-Jul-2018,21-Jul-2018,APB-INW/HP644950 027334 1307,,,234.41,245.32
24-Jul-2018,24-Jul-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/820500",,100.00,,145.32
24-Jul-2018,24-Jul-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/820500",,100.00,,45.32
02-Aug-2018,02-Aug-2018,"IMPS-MOB/Fund Trf/821400010710/BAYY
AN MA/Ok",,,"2,000.00","2,045.32"
06-Aug-2018,06-Aug-2018,"ATM-NFS/CASH WITHDRAWAL/+GRANT ROAD
BR/82181001789",,500.00,,"1,545.32"
